id,POI/street
0,/s. par
1,/
2,/mand imog
3,/raya nga sri
4,/
5,/
6,/
7,/
8,/
9,/
10,/tebet timur tebet raya
11,/kemur viii
12,/
13,/
14,/
15,/
16,/jl tanjung ii
17,/
18,/
19,/
20,/gg. damai 1
21,/ser aswan
22,/gg. pan
23,/tebet barat tebet barat vi
24,/barat gad kir timur vi
25,/
26,/
27,/
28,kota ambon/
29,/
30,/
31,komplek griya asri mandiri/
32,/gg. mah 9
33,/
34,/star barat iii
35,/
36,/
37,/
38,/
39,/
40,/jl abu 1
41,/
42,/
43,/mand sela iii
44,/jl. karya baru  jl. letjen sutoyokomplek karya baru/permai
45,/
46,/
47,/pasar raya
48,/pon rami
49,vete 42 beriwit murung/
50,/raden saleh raya 6
51,/
52,/
53,/
54,/jend sudi
55,/
56,/aka delp
57,kampung bali/kh. wahid has
58,/
59,/
60,/pal xi
61,/
62,/
63,/
64,/lele
65,/jamba
66,/pelawi utara babalan
67,/pulau bida
68,/
69,/desa ken
70,/
71,/
72,/derm lonc
73,lebak jero/
74,/mla iii
75,/raya band
76,/pan indah
77,/mannu
78,/
79,/
80,/kapas utara vi
81,/
82,/cilobak 4
83,/gg. wono 9
84,/pon ben indah i
85,/raya matr raya
86,/jend sudi
87,perumahan wahana/
88,/
89,/gg. buntu
90,/
91,ragunan gebeha kyubin abadi/pt bun raya per
92,/
93,/kali dha vi
94,/
95,/
96,/nila
97,/raya pasar kec
98,/
99,/pelor
100,/
101,/sate
102,/
103,/
104,/
105,/tham 5
106,/
107,/pasundan
108,/
109,/
110,/
111,/tan jaya 1
112,/pet bin ii 1
113,/
114,/mel 2
115,/mand raya
116,/ringinrejo raya sambi
117,ade cell/
118,/
119,/
120,/
121,jalan affa/
122,/
123,/beng
124,/rawa terate raya bek
125,/sitin jomedan denai/
126,/ruko 21 klam
127,/
128,/mar raya 4
129,/rawa baha raya
130,/
131,/
132,/sisin
133,/
134,bubur ayam/warga
135,desa gogik girirejo/warung kuning dekat/
136,/kar sela
137,/
138,/ruci iii
139,/gg. h. yasin iii
140,/jl. komp./puri bint
141,/
142,/
143,/
144,/tan baru v
145,/
146,griya kuni siliw/
147,/cita
148,/
149,/
150,/kamp kadu
151,/komp perdag per
152,/
153,/
154,/
155,/suka iii
156,/
157,/jatil raya
158,/gg. djuli
159,by pass ngu rai/
160,/
161,/marga
162,/
163,/jela sela 15
164,/pisa baru ten
165,surya kenc cv/letda suj
166,/jend s par v
167,perumahan kota baru indah/medan
168,/raya pengas
169,by pass ngu rai/
170,/
171,/ir. h. jua iii
172,/
173,/
174,/keta kali
175,/pon kelapa 3
176,/bat haji hamb
177,/jl. cendrawasih raya
178,/nanas vii
179,/jl. kunto jl. krap perm gg. i
180,/kcu bca
181,/
182,/jend a yani
183,/ploso vi
184,/
185,ism kebayoran lama/
186,/
187,/ban
188,/
189,/
190,/
191,/
192,/kar anyar e
193,/
194,/pasirwangi sami
195,/
196,/
197,/pramuka
198,/kerja bakti 3
199,/
200,hacienda mexicano/
201,/pon rum
202,/gg. hj senin
203,/kebon man ii
204,/dr man besar
205,/tol caw pluit
206,/pat - boja
207,/
208,/
209,/jl raya
210,/mari raya
211,ayam gepuk pak blan/
212,/
213,/sukosewu
214,/
215,/
216,/
217,/b-3/jl. pemuda
218,/raya
219,masjid al-muttaqin/dukuh rejosari
220,/
221,/
222,pt gajah mada stone pergudangan sinar buduran iii/jl raya lingkar timur
223,/gg. st. ibu ii kedamaian tanjung karang timur
224,/jln karya barukomplek arab/
225,/
226,/
227,suka karya/
228,/bofet reflina
229,/
230,/raya ker suralaga
231,abel motor/pulau moro
232,/gg. h. bahr
233,/aup barat iii
234,/indonesia sekar jagad/ame ix
235,/
236,/
237,/
238,/jl. kedon lor i jl. kedon
239,/mekar wangi
240,/margorejo kel.
241,/
242,data cell/komplek puri citra/
243,gajah mada/
244,/
245,kios yoga/
246,komplek bea cukai/sukapura.jl.siak h7 no.2(dekat rs firdaus
247,/desa hur
248,/
249,/gabus
250,/
251,seruni hills/jl swadaya 3
252,/tebet timur tebet timur dalam ix c
253,amaq said/
254,/
255,/
256,/
257,/
258,/
259,/samarinda utara
260,/plaza
261,/
262,/teru kopo
263,/jl. gn. krak iv b
264,/
265,/raya kerob
266,/
267,nasi 23/
268,/musi 3
269,welut pesa 70/
270,/sent/pulo
271,/
272,/merp
273,/
274,/xvii
275,/
276,/matr dalam
277,/
278,/
279,/
280,/
281,/
282,/
283,/
284,/brig h. has basry
285,/
286,/
287,/
288,/jl. re. martadinata
289,/kp.pasir muncang rt02
290,/
291,/rt
292,/gg. pd. asri tibubeneng
293,/
294,/
295,/gg. 8
296,/
297,/gg. 4
298,/indu k2 pasirgombong
299,/
300,/
301,/
302,/
303,/bunga ram i
304,/kali ten xvii
305,/
306,/suka 4
307,/
308,/
309,/
310,/
311,/
312,/
313,/raya kar sela
314,/kar
315,/
316,toko pengumben/joglo raya
317,/gg. ang
318,/ken 3
319,/
320,rm. pad/raya cibe
321,anti/jayamukti
322,/vete
323,/jl. dr. wahi sudi itoko kelontong/
324,/rum diponegoro iii
325,/makam
326,casablanca mansion/
327,/persa 3
328,/gang bers
329,/
330,/
331,/
332,/kamp kera
333,/
334,/sut sisw
335,/sat kulon 2
336,/
337,/
338,/
339,/jend sudi
340,/
341,/
342,/
343,/
344,/
345,/
346,/kh. yasin
347,/
348,/
349,/kedam
350,/
351,/kamp bal sela
352,/
353,/
354,/gg. gajah mada 9
355,/pang polim
356,/raya rancas
357,/raya pulu
358,/gg. nan
359,negara manado/jalan bethesda no.6-8 sario manado
360,/
